state,created_date_ym,count
WY,2015-07,814
VT,2014-11,869
ND,2015-01,940
WY,2015-02,1027
VT,2014-12,1034
WY,2014-12,1048
ND,2014-12,1060
ND,2015-07,1108
WY,2014-11,1114
ND,2015-04,1139
WY,2015-06,1152
ND,2014-11,1165
ND,2015-06,1170
VT,2015-07,1186
ND,2015-02,1193
WY,2015-08,1211
WY,2015-01,1212
VT,2015-05,1215
VT,2015-04,1216
VT,2015-08,1218
VT,2015-02,1219
DC,2015-03,1242
ND,2015-08,1268
VT,2015-01,1307
WY,2015-04,1347
SD,2014-11,1360
SD,2014-12,1369
AK,2015-07,1387
SD,2015-06,1398
WY,2015-05,1404
MT,2014-11,1417
AK,2014-12,1446
DC,2015-02,1448
AK,2015-08,1457
SD,2015-07,1468
SD,2015-04,1479
SD,2015-01,1548
DC,2014-11,1557
SD,2015-08,1562
AK,2014-11,1570
DC,2014-12,1576
VT,2015-06,1617
ND,2015-05,1641
AK,2015-04,1655
AK,2015-02,1655
MT,2015-01,1688
DC,2015-07,1741
MT,2014-12,1768
MT,2015-07,1821
SD,2015-02,1821
AK,2015-01,1850
DC,2015-06,1874
ME,2014-11,1922
DC,2015-01,1971
ND,2015-03,2024
DC,2015-04,2047
DC,2015-05,2194
MT,2015-02,2196
RI,2014-11,2285
AK,2015-05,2329
MT,2015-04,2388
MT,2015-06,2400
SD,2015-05,2425
ME,2015-07,2449
RI,2015-07,2461
WV,2014-11,2512
VT,2014-10,2548
VT,2015-03,2618
RI,2015-05,2630
MT,2015-08,2647
ME,2015-08,2680
NH,2014-11,2720
VT,2015-09,2780
DE,2014-12,2796
ME,2015-04,2834
RI,2015-04,2839
ME,2015-06,2852
RI,2015-01,2856
DE,2015-02,2897
SD,2015-03,2931
WV,2015-01,2940
DC,2015-08,2979
MT,2015-05,3001
DE,2015-07,3015
RI,2015-06,3016
ME,2015-05,3021
ME,2015-01,3074
DE,2015-01,3152
WY,2015-03,3155
NH,2014-12,3193
DE,2014-11,3290
ME,2015-02,3307
RI,2015-02,3339
DC,2014-10,3381
ME,2014-12,3406
ID,2015-07,3447
HI,2015-02,3451
RI,2014-12,3458
HI,2014-12,3463
DE,2015-08,3477
RI,2015-08,3498
HI,2015-07,3506
WV,2015-06,3524
HI,2015-06,3545
DE,2015-04,3565
HI,2015-05,3576
WV,2015-07,3589
HI,2014-11,3648
AK,2015-06,3650
DE,2015-06,3713
NM,2015-07,3766
NH,2015-05,3769
AK,2014-10,3833
NM,2014-11,3898
DE,2015-05,3899
NH,2015-08,3910
NH,2015-07,3972
WV,2015-02,3981
AK,2015-09,4023
HI,2015-01,4040
WV,2015-04,4049
HI,2015-04,4056
NE,2015-06,4073
NH,2015-01,4087
NE,2014-12,4146
DC,2015-09,4279
NE,2015-07,4289
ID,2014-11,4326
NH,2015-06,4333
NH,2015-02,4341
IA,2014-11,4397
NM,2015-04,4596
WV,2015-08,4624
NH,2015-04,4682
HI,2015-08,4688
MT,2015-03,4751
NM,2015-06,4791
WY,2015-09,4924
WV,2014-12,4956
ID,2015-04,4993
NE,2015-04,5028
NE,2015-02,5038
ID,2015-08,5043
NE,2014-11,5072
ID,2015-02,5121
NM,2015-01,5141
WV,2015-05,5186
RI,2015-03,5186
NE,2015-01,5227
WY,2014-10,5277
NM,2015-02,5296
NE,2015-05,5385
ME,2015-03,5527
ID,2015-01,5533
IA,2015-06,5654
IA,2015-01,5770
IA,2014-12,5775
NM,2015-08,6046
SD,2015-09,6046
NM,2014-12,6114
NV,2014-11,6148
LA,2014-11,6211
MS,2014-11,6214
ND,2015-09,6408
SD,2014-10,6538
ID,2015-06,6563
UT,2015-06,6576
NE,2015-08,6619
AR,2015-06,6641
AR,2015-07,6670
OR,2014-11,6696
ID,2014-12,6700
IA,2015-07,6804
IA,2015-02,7005
NH,2015-09,7050
KS,2015-01,7149
AR,2014-11,7151
AR,2015-02,7164
UT,2015-07,7170
OR,2014-12,7216
ID,2015-05,7271
ND,2014-10,7331
NM,2015-05,7529
UT,2014-12,7677
NV,2014-12,7702
AK,2015-03,7708
KS,2014-12,7745
NH,2014-10,7781
NV,2015-02,7796
NH,2015-03,7814
NV,2015-07,7820
KS,2014-11,7981
MS,2015-06,8014
